date,tavg,tmin,tmax,prcp,wdir,wspd,pres,Target
20220325,24.0,18.0,30.4,0.25918559933933133,316.0,14.7,1008.2,24.4
20220326,24.4,17.2,32.4,0.23522726662729224,309.0,12.7,1009.5,25.3
20220327,25.3,17.6,33.5,0.21009614839788074,32.0,9.9,1008.6,26.3
20220328,26.3,18.5,33.8,0.18429486701568484,107.0,13.1,1007.4,26.1
20220329,26.1,18.5,33.5,0.1583260448452929,34.0,12.4,1006.4,25.9
20220330,25.9,19.6,32.9,0.1326923042512931,325.0,13.6,1006.3,25.8
20220331,25.8,19.0,33.8,0.10789626759827368,327.0,15.8,1008.6,26.0
20220401,26.0,18.0,33.7,0.08444055725082289,308.0,13.2,1006.9,25.2
20220402,25.2,18.0,33.2,0.06282779557352892,95.0,14.2,1006.9,26.6
20220403,26.6,20.4,34.2,0.04356060493098005,7.0,17.7,1009.0,26.8
20220404,26.8,20.0,34.7,0.027141607687764503,323.0,12.5,1008.5,27.0
20220405,27.0,19.0,34.7,0.01407342620847048,328.0,12.4,1010.2,27.7
20220406,27.7,20.0,35.5,0.004858682857686239,316.0,11.8,1010.0,28.4
20220407,28.4,19.7,36.6,0.0,338.0,11.8,1009.2,30.8
20220408,30.8,21.0,37.0,0.0,355.0,12.1,1006.7,30.3
20220409,30.3,23.3,37.0,0.0,334.0,17.1,1005.4,25.9
20220410,25.9,20.0,37.0,0.0,318.0,16.1,1005.1,29.2
20220411,29.2,21.4,38.1,0.0,37.0,11.3,1003.1,28.3
20220412,28.3,24.0,35.7,0.0,48.0,20.4,1002.6,28.1
20220413,28.1,22.8,34.3,0.5,9.0,18.8,1004.4,27.2
20220414,27.2,22.0,33.7,0.0,26.0,16.5,1004.2,28.6
20220415,28.6,20.8,33.5,0.0,3.0,12.0,1003.9,28.0
20220416,28.0,20.9,35.5,0.0,344.0,11.6,1003.2,28.4
20220417,28.4,21.4,36.2,0.0,358.0,12.6,1003.6,29.2
20220418,29.2,22.2,37.2,0.0,357.0,13.8,1005.3,28.2
20220419,28.2,22.5,33.2,0.0,325.0,21.6,1008.3,27.7
20220420,27.7,21.3,34.8,0.0,304.0,15.7,1007.1,24.7
20220421,24.7,19.5,31.5,4.1,38.0,23.5,1007.9,24.8
20220422,24.8,19.0,31.1,0.0,353.0,16.3,1011.0,26.8
20220423,26.8,19.5,32.6,0.0,306.0,13.5,1009.9,27.9
20220424,27.9,20.8,34.0,0.0,338.0,17.2,1007.1,29.2
20220425,29.2,22.3,34.1,0.5,1.0,15.8,1005.4,29.3
20220426,29.3,21.8,36.1,0.0,352.0,13.1,1006.1,31.1
20220427,31.1,21.8,38.1,0.0,337.0,13.2,1004.5,32.0
20220428,32.0,24.9,39.0,0.8401939614155821,50.0,15.1,1003.7,31.8
20220429,31.8,26.0,38.0,1.7344578266092567,355.0,18.2,1005.0,31.9
20220430,31.9,25.1,38.0,1.7614927784983032,337.0,13.3,1000.6,32.5
20220501,32.5,25.5,40.2,0.0,61.0,11.5,999.4,29.9
20220502,29.9,25.5,37.3,0.0,109.0,17.8,998.9,27.2
20220503,27.2,18.8,33.2,8.4,68.0,25.6,1003.3,23.8
20220504,23.8,22.0,28.5,0.0,20.0,23.2,1007.6,27.8
20220505,27.8,19.8,34.1,4.1,313.0,11.0,1007.1,29.1
20220506,29.1,21.5,35.4,0.0,355.0,11.8,1005.3,29.3
20220507,29.3,23.3,36.2,0.0,8.0,10.6,1005.2,31.3
20220508,31.3,23.0,38.5,0.42591198453216456,122.0,11.4,1002.2,29.0
20220509,29.0,23.0,37.7,0.0,101.0,20.0,1001.8,31.2
20220510,31.2,23.0,38.9,-0.10627957381862276,80.0,16.4,1002.9,32.2
20220511,32.2,24.5,39.2,0.0,80.0,12.9,1000.5,31.3
20220512,31.3,25.2,40.1,0.0,102.0,16.3,998.8,32.0
20220513,32.0,26.7,40.0,0.0,346.0,18.2,997.1,36.6
20220514,36.6,24.2,42.3,0.0,25.0,14.8,995.9,34.8
20220515,34.8,27.5,41.5,0.0,24.0,22.4,996.9,33.3
20220516,33.3,28.0,40.6,0.0,23.0,20.2,998.3,28.3
20220517,28.3,24.0,39.2,0.0,90.0,20.5,999.4,30.3
20220518,30.3,18.5,37.1,14.0,63.0,12.6,1001.9,30.5
20220519,30.5,25.5,38.4,0.0,65.0,17.5,1001.4,25.5
20220520,25.5,23.0,32.8,4.1,21.0,27.5,1000.6,29.3
20220521,29.3,22.1,37.4,0.0,22.0,17.0,997.2,30.3
20220522,30.3,22.0,37.3,0.0,29.0,18.8,994.2,27.5
20220523,27.5,23.7,31.0,0.0,72.0,26.9,997.9,25.3
20220524,25.3,20.3,31.0,-0.14794143385813227,96.0,19.9,1004.9,29.6
20220525,29.6,21.0,34.8,0.0,112.0,12.4,1005.7,31.2
20220526,31.2,24.0,37.0,0.0,115.0,13.8,1002.2,30.2
20220527,30.2,24.5,38.7,0.0,86.0,16.5,998.4,30.7
20220528,30.7,22.5,37.0,1.5,309.0,11.0,997.4,31.0
20220529,31.0,23.8,38.2,0.0,36.0,12.6,998.3,30.2
20220530,30.2,24.6,37.0,0.0,315.0,10.5,999.5,28.1
20220531,28.1,24.4,37.0,0.0,319.0,11.2,1000.8,29.7
20220601,29.7,22.3,37.2,0.3,352.0,10.0,1001.4,32.3
20220602,32.3,23.6,38.9,0.0,310.0,9.1,1000.6,33.5
20220603,33.5,24.7,40.2,0.0,324.0,9.6,999.0,35.8
20220604,35.8,25.3,41.2,0.0,339.0,8.3,999.2,34.9
20220605,34.9,24.0,41.9,0.0,19.0,8.9,998.9,34.3
20220606,34.3,27.2,42.4,0.0,316.0,8.7,997.9,36.3
20220607,36.3,28.2,43.1,0.0,331.0,9.2,997.0,34.4
20220608,34.4,28.1,42.4,0.0,342.0,9.3,996.6,35.9
20220609,35.9,28.7,42.7,0.0,350.0,13.3,995.6,35.2
20220610,35.2,26.5,41.6,0.0,356.0,13.0,996.8,34.5
20220611,34.5,27.6,41.1,0.0,325.0,10.2,997.5,32.8
20220612,32.8,26.0,41.1,0.0,65.0,10.5,998.9,31.9
20220613,31.9,24.3,40.0,2.0,318.0,9.5,1001.3,35.2
20220614,35.2,27.5,42.9,0.0,341.0,13.1,998.9,36.1
20220615,36.1,28.5,42.5,0.0,104.0,16.6,996.5,31.6
20220616,31.6,24.0,38.5,0.0,101.0,27.3,997.9,27.9
20220617,27.9,19.9,32.4,45.7,100.0,22.0,1000.7,24.4
20220618,24.4,21.0,30.5,0.0,97.0,23.6,1002.0,25.2
20220619,25.2,20.4,32.2,63.0,95.0,18.1,1002.2,23.6
20220620,23.6,20.7,29.9,4.1,79.0,18.8,1000.6,20.1
20220621,20.1,17.4,23.0,4.1,44.0,22.8,1000.9,24.9
20220622,24.9,17.4,30.1,74.9,32.0,24.5,1006.0,27.8
20220623,27.8,21.0,32.7,0.0,317.0,18.2,1006.3,30.9
20220624,30.9,21.3,37.0,0.0,305.0,9.0,1001.8,32.4
20220625,32.4,24.3,39.2,0.0,142.0,9.5,998.6,33.2
20220626,33.2,26.5,39.3,0.0,131.0,11.1,999.3,33.8
20220627,33.8,27.7,39.9,0.0,108.0,11.2,1000.3,35.2
20220628,35.2,28.9,40.6,0.0,131.0,12.8,997.0,34.9
20220629,34.9,29.9,40.7,0.0,121.0,15.9,993.1,30.4
20220630,30.4,27.5,35.3,0.0,113.0,27.0,995.3,27.7
20220701,27.7,25.5,30.1,13.0,116.0,20.9,999.0,31.1
20220702,31.1,27.0,34.9,0.0,126.0,15.5,997.6,30.5
20220703,30.5,27.8,33.7,0.0,116.0,19.7,998.2,31.4
20220704,31.4,27.5,35.4,0.0,121.0,16.4,998.9,29.9
20220705,29.9,23.5,33.5,1.9,133.0,16.2,998.7,29.2
20220706,29.2,22.0,34.2,51.6,105.0,16.8,1001.9,31.7
20220707,31.7,25.8,36.0,0.0,119.0,13.8,1003.5,31.7
20220708,31.7,28.5,36.0,51.1,131.0,16.3,1000.3,27.8
20220709,27.8,21.2,32.5,42.4,117.0,21.9,998.4,29.0
20220710,29.0,24.5,32.0,0.0,115.0,19.5,1000.3,27.5
20220711,27.5,24.5,31.0,0.0,95.0,12.7,1001.4,28.3
20220712,28.3,25.8,32.3,34.5,100.0,11.9,1000.2,27.0
20220713,27.0,24.0,30.1,0.0,100.0,14.8,998.9,25.2
20220714,25.2,22.7,29.0,24.4,109.0,15.5,1000.4,28.9
20220715,28.9,23.8,32.3,0.0,105.0,13.8,1002.9,29.2
20220716,29.2,24.8,35.9,0.0,104.0,10.9,1002.2,28.8
20220717,28.8,26.3,32.0,0.0,135.0,13.6,1003.5,31.3
20220718,31.3,26.2,36.3,0.0,151.0,10.9,1001.9,32.7
20220719,32.7,28.0,37.3,0.0,143.0,12.5,999.2,27.9
20220720,27.9,24.4,31.5,5.1,114.0,20.0,998.2,24.6
20220721,24.6,23.8,25.5,15.2,115.0,17.9,1001.2,28.3
20220722,28.3,24.6,32.2,26.4,118.0,11.7,1004.3,27.5
20220723,27.5,25.3,30.5,0.0,100.0,12.9,1003.7,26.8
20220724,26.8,25.4,29.5,0.0,146.0,13.1,1004.6,27.0
20220725,27.0,24.7,31.1,22.4,95.0,12.1,1005.6,30.6
20220726,30.6,25.6,33.7,0.0,106.0,12.8,1006.1,27.3
20220727,27.3,25.4,29.1,2.1,111.0,14.5,1005.6,26.8
20220728,26.8,24.8,29.9,36.1,108.0,14.5,1005.8,26.4
20220729,26.4,23.5,30.1,67.1,107.0,13.9,1004.8,28.1
20220730,28.1,23.2,31.5,0.0,117.0,12.2,1002.9,26.7
20220731,26.7,22.3,32.1,39.9,110.0,17.1,1000.2,28.0
20220801,28.0,23.0,31.6,0.0,74.0,15.5,1001.4,28.3
20220802,28.3,23.8,33.6,2.5,242.0,10.8,1000.4,30.4
20220803,30.4,25.9,35.0,0.0,166.0,11.9,1001.2,30.8
20220804,30.8,24.8,35.4,0.0,145.0,11.8,1001.6,29.0
20220805,29.0,25.0,32.2,5.1,123.0,16.0,1001.5,29.4
20220806,29.4,25.7,33.0,0.0,130.0,12.6,1000.4,30.3
20220807,30.3,26.0,34.3,0.0,132.0,13.3,998.8,30.1
20220808,30.1,24.8,34.6,0.0,127.0,14.8,1000.4,32.5
20220809,32.5,27.4,36.0,1.5,107.0,12.9,1000.2,31.4
20220810,31.4,27.3,36.3,4.8,122.0,12.3,997.8,29.2
20220811,29.2,25.0,32.0,0.4,104.0,18.2,1000.5,30.7
20220812,30.7,25.0,35.1,0.0,311.0,13.8,1001.9,31.3
20220813,31.3,26.3,35.7,0.0,121.0,12.7,999.6,29.2
20220814,29.2,25.0,33.1,0.0,118.0,13.5,1001.9,26.1
20220815,26.1,24.0,29.4,23.4,118.0,14.8,1005.1,27.1
20220816,27.1,24.0,34.8,23.1,32.0,12.3,1004.4,27.3
20220817,27.3,25.2,30.1,18.0,64.0,14.2,1004.8,29.1
20220818,29.1,25.2,34.0,0.0,130.0,11.1,1003.1,29.7
20220819,29.7,26.0,35.6,0.0,150.0,10.7,1001.2,28.3
20220820,28.3,26.5,34.6,0.0,159.0,13.1,1001.9,29.1
20220821,29.1,24.6,32.7,0.0,313.0,15.3,1002.7,30.3
20220822,30.3,25.7,35.0,0.0,333.0,11.4,1000.5,30.8
20220823,30.8,26.5,35.1,0.0,16.0,11.6,1002.0,26.2
20220824,26.2,25.0,28.2,5.1,65.0,15.3,1005.9,25.4
20220825,25.4,23.4,28.0,18.9,39.0,16.8,1006.5,25.9
20220826,25.9,23.4,30.0,12.1,337.0,14.8,1005.3,28.9
20220827,28.9,23.5,33.1,0.0,307.0,12.3,1003.4,29.3
20220828,29.3,24.7,34.0,0.0,345.0,10.6,1002.8,30.0
20220829,30.0,24.3,34.7,0.0,90.0,11.0,1006.2,29.9
20220830,29.9,24.8,35.2,0.0,73.0,9.1,1007.7,31.3
20220831,31.3,24.8,35.5,0.0,338.0,10.3,1005.1,31.1
20220901,31.1,25.5,35.7,0.0,132.0,9.1,1004.1,31.1
20220902,31.1,25.8,35.8,0.0,109.0,10.8,1005.4,30.1
20220903,30.1,25.8,35.1,0.0,122.0,13.1,1003.2,28.2
20220904,28.2,25.6,30.7,0.0,92.0,16.1,1002.0,25.6
20220905,25.6,21.5,29.6,46.0,95.0,14.2,1005.2,28.4
20220906,28.4,23.0,33.0,0.0,148.0,8.8,1006.3,29.2
