date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-02-25,19.2,10.8,26.2,0,,318,8.4,,1017.1,
2023-02-26,18.9,13.8,24.9,0,,11,11.6,,1020.1,
2023-02-27,18.4,13,25.8,0,,333,10.7,,1019.9,
2023-02-28,14.8,13.2,18,1,,11,9.7,,1020.4,
2023-03-01,16.1,11.9,21.4,1,,72,10.4,,1022.4,
2023-03-02,16.8,12.8,21,0,,32,11.7,,1023.2,
2023-03-03,20.5,11.8,24.5,0,,290,8.5,,1022.7,
2023-03-04,18.9,12,26.1,0,,270,6.3,,1020.9,
2023-03-05,21.9,13.5,27,0,,335,8.8,,1020.5,
2023-03-06,20.3,12.7,28,0,,313,8.2,,1017.4,
2023-03-07,20.2,12.2,28.2,0,,348,8.4,,1016.6,
2023-03-08,20.8,13.2,28.8,0,,328,7.3,,1016.8,
2023-03-09,21.1,13.9,28.7,0,,32,6.6,,1017.4,
2023-03-10,21,14,28.8,0,,329,7.6,,1016.3,
2023-03-11,22,14.5,29,0,,23,6.6,,1015.2,
2023-03-12,20.8,16.5,28,0,,348,10.9,,1016.2,
2023-03-13,20.1,14.3,29,0,,293,12.1,,1014.9,
2023-03-14,22.4,15.4,29.8,0,,318,10.5,,1011.5,
2023-03-15,22.5,16.4,29.5,0,,107,10.9,,1009.3,
2023-03-16,20.6,17.2,24.8,1.6,,59,13.1,,1011.3,
2023-03-17,16.9,14.5,20.5,0.6,,45,13.1,,1015.6,
2023-03-18,17.7,13.2,22.2,1,,82,12.3,,1014,
